Categoria,Funcionalidade,Planilha_Origem,Aba_Origem,Status_AS,Model_AS,View_AS,Template_AS,Prioridade,Esforco_Horas,Observacoes
COMPRAS,Gestão de Produtos,Planilha Controle,🟥 COMPRAS,COMPLETO,Produto,Admin + Import,importacao_compras_*,ALTA,0,Sistema completo com classificação
COMPRAS,Import Planilhas Email,Planilha Controle,🟥 COMPRAS,COMPLETO,Compra,importacao_compras_*,importacao_compras_*,ALTA,0,Upload + preview + validação
COMPRAS,Classificação Materiais,Planilha Controle,⚙️ CONFIG,COMPLETO,Produto.classificacao_material,import_config_classificacao,importacao_compras_preview,ALTA,0,Aluno/Professor automático
COMPRAS,Normalização Dados,Planilha Controle,ℹ️ FILTRO_PROD,COMPLETO,ProdutoAlias/MunicipioAlias,Sistema interno,N/A,MÉDIA,0,Aliases funcionando
FORMAÇÕES,CRUD Formações,Planilha Controle,ℹ️ FORMAÇÕES,COMPLETO,Formacao,FormacaoListView/CreateView/etc,formacoes_*,ALTA,0,Interface completa com filtros
FORMAÇÕES,Cálculo Carga Horária,Planilha Controle,ℹ️ FORMAÇÕES,COMPLETO,Formacao.carga_horaria_anual,Property automática,JavaScript stats,ALTA,0,Cálculo automático por ano
FORMAÇÕES,Multi-formadores,Planilha Controle,ℹ️ FORMAÇÕES,COMPLETO,Formacao.formadores M2M,FormacaoCreateView,formacao_form,MÉDIA,0,Relacionamento M2M implementado
FORMAÇÕES,Auto-preenchimento Mês,Planilha Controle,ℹ️ FORMAÇÕES,COMPLETO,Formacao.save() override,Automático,N/A,BAIXA,0,Mês preenchido automaticamente
AÇÕES,CRUD Ações,Planilha Controle,🟥 AÇÕES,GAP,Acao,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,ALTA,2,Model existe - falta interface
AÇÕES,Controle Datas Entrega,Planilha Controle,🟥 AÇÕES,GAP,Acao.data_entrega/carta/etc,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,MÉDIA,1,Campos existem no model
DAT,CRUD Dados DAT,Planilha Controle,ℹ️ DAT,GAP,DadosDAT,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,MÉDIA,2,Model existe - falta interface
DAT,Controle FORMAR/AVALIAR,Planilha Controle,ℹ️ DAT,GAP,DadosDAT.aluno_qtde/professor_qtde,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,MÉDIA,1,Campos existem
DAT,Relatórios por Município,Planilha Controle,ℹ️ DAT,GAP,DadosDAT + aggregations,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,BAIXA,1,Dados existem para relatórios
CADASTROS,CRUD Tipos Cadastro,Planilha Controle,☑️ CADASTROS,GAP,CadastroTipo,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,BAIXA,1,Model existe
CADASTROS,CRUD Registros,Planilha Controle,☑️ CADASTROS,GAP,CadastroRegistro,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,BAIXA,1.5,Model existe
COORDENAÇÃO,Gestão Coordenadores,Planilha Controle,🟥 COORD,COMPLETO,Coordenador,Admin interface,Admin,MÉDIA,0,Funcional via admin
AGENDA,Solicitação Eventos,Acompanhamento Agenda,Super/ACerta/Vidas/etc,COMPLETO,Solicitacao,SolicitacaoCreateView,solicitacao_form,ALTA,0,Sistema completo RF02
AGENDA,Sistema Aprovações,Acompanhamento Agenda,Status aprovação,COMPLETO,Aprovacao,AprovacoesPendentesView,aprovacoes_*,ALTA,0,Sistema completo RF04
AGENDA,Google Calendar Sync,Acompanhamento Agenda,Google Agenda,COMPLETO,EventoGoogleCalendar,GoogleCalendarMonitorView,google_calendar_monitor,ALTA,0,Sincronização implementada
AGENDA,Multi-formadores Evento,Acompanhamento Agenda,Formadores 1-5,COMPLETO,FormadoresSolicitacao M2M,SolicitacaoCreateView,solicitacao_form,MÉDIA,0,Até 5 formadores por evento
AGENDA,Controle por Projeto,Acompanhamento Agenda,Super/ACerta/Vidas,COMPLETO,TipoEvento,Filtros nas views,Interface,MÉDIA,0,Projetos implementados
DISPONIBILIDADE,Mapa Mensal,Disponibilidade,MENSAL,COMPLETO,DisponibilidadeFormadores,MapaMensalView,mapa_mensal*,ALTA,0,Interface visual funcional
DISPONIBILIDADE,Visão Anual,Disponibilidade,ANUAL,GAP,DisponibilidadeFormadores,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,BAIXA,1,Dados existem - falta view
DISPONIBILIDADE,Controle Bloqueios,Disponibilidade,Bloqueios,COMPLETO,BloqueioAgenda,BloqueioCreateView,bloqueio_*,MÉDIA,0,Interface de bloqueio
DESLOCAMENTO,Controle Deslocamentos,Disponibilidade,DESLOCAMENTO,COMPLETO,Deslocamento,Admin + Views,Integrado,MÉDIA,0,Sistema implementado
DESLOCAMENTO,Deslocamentos Agenda,Acompanhamento Agenda,DESLOCAMENTO,COMPLETO,DeslocamentoAgenda,Integrado,Integrado,BAIXA,0,Funcional
USUÁRIOS,Sistema Autenticação,N/A,N/A,COMPLETO,Usuario,CustomLoginView,login,CRÍTICA,0,Django auth customizado
USUÁRIOS,Controle Permissões,N/A,N/A,COMPLETO,Groups + Permissions,PermissionRequiredMixin,Menu contextual,CRÍTICA,0,6 grupos configurados
USUÁRIOS,Grupo Controle,N/A,N/A,COMPLETO,Group 'controle',setup_controle_permissions,Menu lateral,ALTA,0,14 permissões configuradas
RELATÓRIOS,Dashboard Executivo,N/A,N/A,COMPLETO,Aggregations,DiretoriaExecutiveDashboardView,executive_dashboard,ALTA,0,Métricas implementadas
RELATÓRIOS,Logs Auditoria,N/A,N/A,COMPLETO,LogAuditoria,AuditoriaLogView,auditoria_log,MÉDIA,0,Sistema de logs
RELATÓRIOS,Monitor API Status,N/A,N/A,COMPLETO,System checks,ControleAPIStatusView,controle_api_status,BAIXA,0,Monitoramento implementado
INFRAESTRUTURA,Models UUIDs,N/A,N/A,COMPLETO,uuid.uuid4,Todos os models,N/A,TÉCNICA,0,33 models com UUID
INFRAESTRUTURA,Sistema Importação,N/A,N/A,COMPLETO,ImportJob/Error/RegistroPendente,Import views,N/A,TÉCNICA,0,Controle completo de imports
INFRAESTRUTURA,Normalização Aliases,N/A,N/A,COMPLETO,*Alias models,Sistema interno,N/A,TÉCNICA,0,Municípios e produtos
INFRAESTRUTURA,Timezone Fortaleza,N/A,N/A,COMPLETO,Django settings,Sistema,N/A,TÉCNICA,0,America/Fortaleza configurado
TESTES,Testes Formações,N/A,N/A,COMPLETO,FormacaoModelTestCase,Testes Django,N/A,QUALIDADE,0,7 testes implementados
TESTES,Testes Importação,N/A,N/A,COMPLETO,ImportComprasTestCase,Testes Django,N/A,QUALIDADE,0,6 testes implementados
TESTES,Testes Classificação,N/A,N/A,COMPLETO,ProdutoClassificacaoTestCase,Testes Django,N/A,QUALIDADE,0,3 testes implementados
TESTES,Testes Permissões,N/A,N/A,COMPLETO,PermissionsTestCase,Testes Django,N/A,QUALIDADE,0,2 testes implementados
INTERFACE,Templates Responsivos,N/A,N/A,COMPLETO,Bootstrap 5,Todos templates,22 templates,UX,0,Mobile-friendly
INTERFACE,Menu Contextual,N/A,N/A,COMPLETO,Permissões,base.html,Sidebar navigation,UX,0,Menu por grupo
INTERFACE,Filtros e Busca,N/A,N/A,COMPLETO,Django QuerySets,List views,JavaScript,UX,0,Filtros funcionais
INTERFACE,AJAX Interações,N/A,N/A,COMPLETO,Django JsonResponse,formacao_detail_ajax,JavaScript,UX,0,Detalhes dinâmicos
AUTOMAÇÃO,Apps Script Equivalente,Google Sheets,Triggers,PARCIAL,Django signals,Parcialmente implementado,N/A,TÉCNICA,4,onEdit/onOpen equivalentes
AUTOMAÇÃO,Time-driven Reports,Google Sheets,Triggers,GAP,Django Celery,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,BAIXA,8,Relatórios periódicos
AUTOMAÇÃO,Email Notifications,Google Sheets,Apps Script,GAP,Django Email,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,BAIXA,4,Notificações automáticas
INTEGRAÇÃO,ERP Integration,N/A,N/A,GAP,API REST,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,BAIXA,16,Se necessário
INTEGRAÇÃO,Export Excel/PDF,N/A,N/A,GAP,openpyxl/reportlab,NÃO IMPLEMENTADO,NÃO IMPLEMENTADO,BAIXA,6,Export de relatórios
