Ação/Responsabilidade,Planilha Google,Perfil Planilha,Django Model/View,Grupo Django Atual,Permissão Django Atual,Status,Gap Identificado
"Criar nova solicitação de evento","Acompanhamento de Agenda - Super","Coordenador","Solicitacao (add)","coordenador","core.add_solicitacao","✅ ALINHADO","-"
"Editar solicitação pendente","Acompanhamento de Agenda - Super","Coordenador","Solicitacao (change)","coordenador","core.change_solicitacao","✅ ALINHADO","-"
"Aprovar/reprovar evento","Acompanhamento de Agenda - Super","Superintendência","Aprovacao (add)","superintendencia","core.add_aprovacao","✅ ALINHADO","-"
"Ver todas as solicitações","Acompanhamento de Agenda - Super","Superintendência","SolicitacaoListView","superintendencia","core.view_all_solicitacoes","✅ ALINHADO","-"
"Sincronizar com Google Calendar","Acompanhamento de Agenda - Google Agenda","Controle","EventoGoogleCalendar","controle","core.sync_calendar","🔴 GAP","controle não tem sync_calendar"
"Gerenciar disponibilidade","Disponibilidade - Bloqueios","Formador","DisponibilidadeFormadores","formador","core.view_own_events","🔴 GAP","formador deveria ter add/change_disponibilidadeformadores"
"Visualizar próprios eventos","Disponibilidade - Eventos","Formador","SolicitacaoListView filtrada","formador","core.view_own_events","⚠️ PARCIAL","falta filtro automático por formador"
"Criar pedido de compra","Controle - COMPRAS","Coordenador/Controle","Compra (add)","controle","planilhas.add_compra","✅ ALINHADO","-"
"Validar/processar compras","Controle - COMPRAS","Controle","Compra (change)","controle","planilhas.change_compra","✅ ALINHADO","-"
"Registrar formação","Controle - FORMAÇÕES","Coordenador","Formacao (add)","controle","planilhas.add_formacao","🔴 GAP","coordenador deveria ter add_formacao"
"Editar dados formação","Controle - FORMAÇÕES","Coordenador","Formacao (change)","controle","planilhas.change_formacao","🔴 GAP","coordenador deveria ter change_formacao"
"Ver relatórios consolidados","Controle - filtros","Diretoria","LogAuditoria views","diretoria","core.view_relatorios","✅ ALINHADO","-"
"Auditar operações","Controle - logs","Controle","LogAuditoria","controle","core.view_logauditoria","✅ ALINHADO","-"
"Configurar parâmetros sistema","Configurações (todas planilhas)","Admin","Django Admin","admin","Todas permissões","✅ ALINHADO","-"
"Importar dados externos","Controle - importação","Controle","Import management commands","controle","Acesso via shell","🔴 GAP","controle precisa de permissão de importação"
"Monitorar calendário mensal","Disponibilidade - MENSAL","Superintendência","CalendarView","superintendencia","core.view_calendar","✅ ALINHADO","-"
"Controlar deslocamentos","Disponibilidade - DESLOCAMENTO","Coordenador","Deslocamento","coordenador","N/A","🔴 GAP","coordenador não tem acesso a Deslocamento"
"Gerar relatório anual","Disponibilidade - ANUAL","Diretoria","Dashboard analytics","diretoria","core.view_relatorios","⚠️ PARCIAL","falta dashboard específico"
"Cadastrar novos formadores","Controle - dados mestre","Admin/Controle","Formador (add)","admin,controle","core.add_formador","🔴 GAP","controle não tem add_formador"
"Editar dados formador","Controle - dados mestre","Admin/Controle","Formador (change)","admin,controle","core.change_formador","🔴 GAP","controle não tem change_formador"
"Conectar formador a usuário","Controle - dados mestre","Admin","Formador.usuario","admin","Apenas admin","⚠️ RESTRITIVO","controle deveria poder conectar formadores"
"Gerenciar municípios","Controle - dados mestre","Admin/Controle","Municipio","admin","core.add/change_municipio","🔴 GAP","controle não tem permissões de Municipio"
"Gerenciar projetos","Controle - dados mestre","Admin/Controle","Projeto","admin","core.add/change_projeto","🔴 GAP","controle não tem permissões de Projeto"
"Ver agenda formador específico","Acompanhamento - por formador","Coordenador","FormadorEventView","coordenador","N/A","🔴 GAP","falta view específica por formador"
"Bloquear agenda formador","Disponibilidade - Bloqueios","Coordenador","DisponibilidadeFormadores","coordenador","N/A","🔴 GAP","coordenador deveria gerenciar disponibilidade"
"Acompanhar status eventos","Acompanhamento - status","Coordenador","SolicitacaoListView","coordenador","core.view_own_solicitacoes","⚠️ LIMITADO","só vê próprias solicitações"
"Notificar mudanças","Todos os scripts","Automático","Django signals","N/A","N/A","🔴 FALTANTE","sistema de notificações não implementado"
"Backup automático dados","Apps Script triggers","Sistema","N/A","N/A","N/A","🔴 FALTANTE","backup automático não configurado"
"Validação dados entrada","Apps Script onEdit","Automático","Form validation","N/A","Built-in Django","⚠️ BÁSICO","validação menos robusta que planilhas"
"Log mudanças automático","Apps Script onChange","Sistema","LogAuditoria","Automático","Signals","✅ ALINHADO","-"
"API integração externa","Apps Script UrlFetch","Sistema","N/A","N/A","N/A","🔴 FALTANTE","APIs externas não implementadas"
"Processamento em lote","Apps Script timeBased","Sistema","Management commands","admin","Shell access","⚠️ MANUAL","sem agendamento automático"
