Item,Categoria,Status,Evidencia,Recomendacao,Prioridade,Responsavel
"Busca por .raw() queries",SQL Injection,✅ CONFORME,"Nenhuma ocorrência encontrada","Manter uso exclusivo do ORM",Baixa,Desenvolvimento
"Busca por .extra() queries",SQL Injection,✅ CONFORME,"Nenhuma ocorrência encontrada","Continuar usando ORM padrão",Baixa,Desenvolvimento  
"Busca por cursor.execute()",SQL Injection,✅ CONFORME,"1 ocorrência não vulnerável em test_dashboard_performance.py:269","Documentar necessidade da query PostgreSQL",Baixa,Desenvolvimento
"Verificação de interpolação de strings em SQL",SQL Injection,✅ CONFORME,"Apenas uso seguro do ORM identificado","Manter práticas atuais",Baixa,Desenvolvimento
"Templates com |safe",XSS,✅ CONFORME,"0 ocorrências encontradas","Manter auto-escaping ativo",Média,Desenvolvimento
"Templates com mark_safe",XSS,✅ CONFORME,"0 ocorrências encontradas","Code review obrigatório para uso futuro",Média,Desenvolvimento
"Templates com autoescape off",XSS,✅ CONFORME,"0 ocorrências encontradas","Treinamento sobre riscos XSS",Média,Desenvolvimento
"Uso de format_html",XSS,✅ CONFORME,"0 ocorrências encontradas","Manter práticas seguras de output",Média,Desenvolvimento
"AUTO_ESCAPING habilitado",XSS,✅ CONFORME,"Django default ativo","Não modificar configuração padrão",Alta,Desenvolvimento
"AUTH_PASSWORD_VALIDATORS configurado",Senha,✅ CONFORME,"4 validadores ativos em settings.py:107-120","Manter configuração atual",Alta,DevOps
"UserAttributeSimilarityValidator",Senha,✅ CONFORME,"Ativo na linha 109","Configuração adequada",Média,DevOps
"MinimumLengthValidator",Senha,✅ CONFORME,"Ativo na linha 112","Configuração adequada",Média,DevOps
"CommonPasswordValidator",Senha,✅ CONFORME,"Ativo na linha 115","Configuração adequada",Média,DevOps
"NumericPasswordValidator",Senha,✅ CONFORME,"Ativo na linha 118","Configuração adequada",Média,DevOps
"Algoritmo de hash seguro",Senha,✅ CONFORME,"Django PBKDF2 default","Implementar 2FA para admins",Média,DevOps
"Busca por senhas em texto plano",Senha,✅ CONFORME,"Nenhuma encontrada","Política de rotação de senhas",Baixa,RH
"API EventoCreateAPIView protegida",API,✅ CONFORME,"@permission_classes([IsControleOrAdmin]) linha 53","Implementar rate limiting",Média,Desenvolvimento
"API EventoListAPIView protegida",API,✅ CONFORME,"@permission_classes([IsControleOrAdmin]) linha 100","Logs de acesso detalhados",Baixa,Desenvolvimento
"API ProjetoListAPIView protegida",API,✅ CONFORME,"@permission_classes([IsControleOrAdmin]) linha 123","Monitoramento de uso",Baixa,Desenvolvimento
"API MunicipioListAPIView protegida",API,✅ CONFORME,"@permission_classes([IsControleOrAdmin]) linha 130","Validação de CORS se necessário",Baixa,Desenvolvimento
"API TipoEventoListAPIView protegida",API,✅ CONFORME,"@permission_classes([IsControleOrAdmin]) linha 137","Configuração adequada",Baixa,Desenvolvimento
"API FormadorListAPIView protegida",API,✅ CONFORME,"@permission_classes([IsControleOrAdmin]) linha 144","Configuração adequada",Baixa,Desenvolvimento
"API api_status protegida",API,✅ CONFORME,"@permission_classes([IsControleOrAdmin]) linha 149","Configuração adequada",Baixa,Desenvolvimento
"API bulk_create_eventos protegida",API,✅ CONFORME,"@permission_classes([IsControleOrAdmin]) linha 174","Logs de operações em lote",Média,Desenvolvimento
"Classe IsControleOrAdmin implementada",API,✅ CONFORME,"Validação robusta em api_views.py:14-27","Configuração adequada",Alta,Desenvolvimento
"Verificação de autenticação nas APIs",API,✅ CONFORME,"request.user.is_authenticated nas permissões","Configuração adequada",Alta,Desenvolvimento
"Grupo coordenador com permissões mínimas",Privilégio,✅ CONFORME,"add_solicitacao, view_solicitacao apenas","Auditoria periódica de usuários",Baixa,RH
"Grupo formador com permissões específicas",Privilégio,✅ CONFORME,"Apenas disponibilidade e visualização","Configuração adequada",Baixa,RH
"Grupo superintendencia com escopo definido",Privilégio,✅ CONFORME,"Aprovação de eventos e auditoria","Configuração adequada",Média,RH
"Grupo controle com permissões técnicas",Privilégio,✅ CONFORME,"sync_calendar e APIs específicas","Logs de alterações de permissões",Baixa,RH
"Grupo diretoria com acesso a relatórios",Privilégio,✅ CONFORME,"view_relatorios e consultas","Configuração adequada",Baixa,RH
"Grupo dat com separação clara",Privilégio,✅ CONFORME,"DadosDAT exclusivo, sem Django Admin","Configuração adequada",Média,RH
"Grupo admin com acesso total definido",Privilégio,✅ CONFORME,"Django Admin + sistema completo","Auditoria de contas administrativas",Alta,RH
"PermissionRequiredMixin em views",Privilégio,✅ CONFORME,"23+ ocorrências em views.py e mixins.py","Configuração adequada",Alta,Desenvolvimento
"Comando setup_groups implementado",Privilégio,✅ CONFORME,"Criação automática de grupos e permissões","Documentar processo de onboarding",Baixa,RH
"Separação de responsabilidades clara",Privilégio,✅ CONFORME,"7 níveis diferentes mapeados","Configuração adequada",Alta,Arquitetura
"Herança restritiva de permissões",Privilégio,✅ CONFORME,"Nenhum grupo com permissões desnecessárias","Configuração adequada",Alta,Arquitetura
"Sistema de mixins seguro",Privilégio,✅ CONFORME,"GroupRequiredMixin e PermissionRequiredMixin","Configuração adequada",Alta,Desenvolvimento
"Validação de superuser",Privilégio,✅ CONFORME,"is_superuser verificado em todas as proteções","Configuração adequada",Alta,Desenvolvimento
"CSRF Protection ativo",Geral,✅ CONFORME,"Django default habilitado","Não modificar",Alta,Desenvolvimento
"Session security adequada",Geral,✅ CONFORME,"Configurações Django padrão","Considerar timeout personalizado",Baixa,DevOps
"Input validation via ORM",Geral,✅ CONFORME,"Uso exclusivo do Django ORM","Manter práticas atuais",Alta,Desenvolvimento
